match_id,odds_home,odds_draw,odds_away
M73,4.80,3.40,1.87
M74,1.33,5.00,10.50
M76,1.74,3.60,5.25
M77,1.29,6.00,10.50
M78,3.60,3.30,2.15
M80,1.29,5.25,13.00
M83,1.67,3.80,5.50
M84,1.32,5.25,10.50
M85,1.95,3.30,4.40
M86,1.15,8.00,20.00
M87,1.43,4.40,8.50
M88,3.65,2.95,2.35
M89,19.00,6.50,1.17
M90,5.25,3.45,1.74
M91,1.80,3.75,4.40
M92,3.10,3.10,2.45
M93,3.95,3.65,1.91
M94,2.50,3.40,2.80
M95,1.32,4.90,10.50
M96,3.45,3.10,2.25
M97,1.59,3.85,6.00
M98,1.62,3.95,5.50
M99,3.80,3.65,1.95
M100,1.69,3.55,5.50
M101,2.35,3.25,3.20
M102,2.55,3.00,3.05
